Количество принятых сообщений
100
93.2287
86.242
79.7013
73.5482
68.3055
62.7461
57.4311
53.1173
48.9727
45.0972
41.3832
37.9737
35.4654
33.0539
30.8455
29.28
28.0866
27.2023
26.584
