Количество отправленных сообщений
100
96.5705
92.7934
89.0794
85.4115
82.0036
78.2419
74.4525
70.8631
67.3121
63.7272
59.7887
55.6948
52.2438
48.6344
44.8588
41.2017
37.7691
34.0782
30.3011
