Количество принятых сообщений
98.9512
99.514
98.4929
98.4529
96.7966
96.935
96.7812
96.1107
95.7477
96.8888
96.9381
95.3494
95.7077
95.0341
96.5397
96.3752
95.5524
95.8231
96.0922
94.4636
