Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,13.8094
5,0,0,0,16.6332
10,0,0,0,18.8151
15,0,0,0,23.1315
20,0,0,0,27.9989
25,0,0,0,30.7498
30,0,0,0,35.7791
35,0,0,0,39.2937
40,0,0,0,44.0954
45,0,0,0,48.1509
50,0,0,0,52.135
55,0,0,0,57.3891
60,0,0,0,30.4272
65,0,0,0,32.4158
70,0,0,0,34.0283
75,0,0,0,36.6288
80,0,0,0,38.3142
85,0,0,0,40.5732
90,0,0,0,41.6448
95,0,0,0,43.8721
