Количество принятых сообщений
100
99.8185
99.6801
99.6401
99.6078
99.5202
99.534
99.4433
99.3864
99.3956
99.391
99.3664
99.3095
99.2434
99.2772
99.2372
99.1911
99.228
99.1203
99.1096
