Количество принятых сообщений
100
99.7401
99.6509
99.6355
99.6186
99.5525
99.4833
99.3941
99.3971
99.3725
99.3802
99.268
99.2449
99.2541
99.2111
99.1634
99.1772
99.1818
99.1265
99.1203
