Количество принятых сообщений
100
92.1629
84.092
76.4179
69.3083
63.0552
56.6652
50.7459
45.5124
40.7111
36.0098
31.8852
28.1834
25.0877
22.1318
19.7742
17.958
16.6093
15.3405
14.7592
