Количество отправленных сообщений
100
95.9538
91.5816
87.2032
82.7494
78.7832
74.4264
70.0695
65.6604
61.5311
57.0943
52.7082
47.9915
43.9422
39.5639
35.1839
30.7502
26.7486
22.5378
17.9918
