Количество принятых сообщений
100
99.7063
99.3187
99.1019
98.9081
98.7328
98.6436
98.479
98.3452
98.2929
98.2037
98.1345
98.0746
98.0899
98.0746
98.0346
98.0884
98.0684
98.1038
98.1268
