Количество принятых сообщений
100
99.7109
99.6432
99.6401
99.6155
99.5309
99.4787
99.4617
99.3987
99.4187
99.3587
99.3618
99.248
99.2434
99.2787
99.1711
99.1511
99.2341
98.8189
99.1003
