Количество принятых сообщений
99.3818
99.3802
98.7666
98.5482
97.5394
97.8654
97.5886
97.3287
97.1718
96.6889
96.895
96.752
96.692
96.5459
96.589
96.0184
96.3306
96.0953
96.5551
96.5213
