Количество принятых сообщений
100
92.0506
83.9029
76.2026
68.87
62.4708
56.1593
50.2338
44.8204
40.0022
35.3147
31.1547
27.2346
24.1526
21.2629
18.8592
16.8076
15.3251
14.4577
13.595
