Количество принятых сообщений
98.985
99.2941
98.7451
98.5328
98.3914
98.2253
98.0807
98.0407
97.8377
97.8147
97.7793
97.7178
97.6593
97.2995
96.795
97.6501
97.6424
97.6639
97.6824
97.7639
