Количество отправленных сообщений
100
96.3906
92.4951
88.5627
84.6088
81.0255
77.1269
73.1545
69.2944
65.6788
61.6865
57.9032
53.6033
49.96
45.9077
41.9676
38.1321
34.5134
30.5195
26.544
