Количество отправленных сообщений
100
95.9922
91.6646
87.3908
83.0324
79.057
74.7109
70.3756
66.1402
62.0679
57.691
53.3465
48.7666
44.6912
40.2498
36.0098
31.7683
27.779
23.3606
19.0637
