Количество принятых сообщений
97.2041
92.2152
83.6245
78.6663
71.8027
66.5047
60.5392
55.2519
50.4491
46.306
41.6662
38.5104
35.0148
32.2219
29.5506
27.2961
25.5952
24.2464
23.0253
22.3548
