Количество принятых сообщений
100
99.7878
99.6555
99.6155
99.6309
99.6155
99.4956
99.5417
99.4371
99.3956
99.3756
99.2895
99.3479
99.2587
99.291
99.2618
99.188
99.2003
99.1203
99.1403
