Actors corrupted (%),Total time (seconds)
0,8.34508
1,8.36084
2,8.27955
3,8.32335
4,8.4078
5,8.3771
6,8.3507
7,8.36555
8,8.29351
9,8.39124
10,8.36611
11,8.36235
12,8.3281
13,8.39131
14,8.32631
15,8.3929
16,8.29776
17,8.34754
18,8.29756
19,8.23484
20,8.1927
21,8.37096
22,8.36496
23,8.32283
24,8.2295
25,8.22843
26,8.2491
27,8.16447
0,8.08523
0,2.81979
0,2.80709
0,2.81528
0,2.78809
0,2.79925
0,2.8076
0,2.78724
0,2.78265
0,2.83124
0,2.7919
0,2.81588
0,2.79293
0,2.76294
0,2.80754
0,2.79678
0,2.80141
0,2.77909
0,2.82404
0,2.8099
0,2.75179
0,2.77939
0,2.81918
0,2.81669
0,2.81807
0,2.79052
0,2.81968
0,2.77676
0,2.80188
0,2.78019
0,2.80762
0,2.81055
0,2.82156
0,2.79504
0,2.77799
0,2.82476
0,2.83266
0,2.79451
0,2.79532
0,2.82235
0,2.81177
0,2.76594
0,2.7805
0,2.8089
0,2.80201
0,2.79656
0,2.80756
0,2.80028
0,2.80234
0,2.75898
0,2.79643
0,2.79126
0,2.82338
0,2.80809
0,2.8004
0,2.7972
0,2.80064
0,2.79683
0,2.786
0,2.77421
0,2.84053
0,2.7938
0,2.82574
0,2.79233
0,2.80326
0,2.77791
0,2.79853
0,2.80867
0,2.82508
0,2.81808
0,2.77209
0,2.78687
0,2.77178
0,2.80945
0,2.79196
0,2.79004
0,2.79622
0,2.7654
0,2.78767
0,2.79119
0,2.79602
0,2.79905
0,2.81915
0,2.79234
0,2.80927
0,2.79341
0,2.79815
0,2.79824
0,2.76176
0,2.79351
0,2.8016
0,2.80021
0,2.82819
0,2.81606
0,2.79639
0,2.81598
0,2.81567
0,2.80536
0,2.83163
0,2.78117
0,2.79188
0,2.81468
0,2.80275
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,254.001
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.3588
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.29575
0,4.42166
0,4.39631
0,4.35304
0,4.36748
0,4.3009
0,4.42617
0,4.40862
0,4.29089
0,4.36161
0,4.34333
0,4.31128
0,4.2335
0,4.29532
0,4.33607
0,4.29002
0,4.35831
0,4.30302
0,4.3769
0,4.30369
0,4.27575
0,4.34693
0,4.2957
0,4.22812
0,4.35159
0,4.20453
0,4.22915
0,4.35041
0,4.27412
0,4.3508
0,4.20573
0,4.25115
0,4.28263
0,4.26598
0,4.43319
0,4.25854
0,4.26205
0,4.22049
0,4.21124
0,4.29064
0,4.10542
0,4.08171
0,4.08788
0,4.19433
0,4.13255
0,3.98239
0,4.1027
0,4.01445
0,4.18179
0,4.14394
0,4.26085
0,4.0306
0,3.96912
0,3.90986
0,3.87109
0,4.0278
0,3.87006
0,3.84038
0,3.88371
0,3.86627
0,3.70108
0,3.7902
0,3.63448
0,3.68988
0,3.52598
0,3.57671
0,3.50092
0,3.61637
0,3.4928
0,3.44736
0,3.53363
0,3.45617
0,3.43142
0,3.48351
0,3.44631
0,3.48908
0,3.34263
0,3.28499
0,3.31857
0,3.23032
0,3.26716
0,3.30728
0,3.26935
0,3.30034
0,3.33261
0,3.27644
0,3.21532
0,3.34418
0,3.2772
0,3.12814
0,3.10359
0,3.0826
0,3.0667
0,3.09216
0,3.19992
0,3.0932
0,2.97948
0,2.86494
0,2.85036
0,2.699
0,1.10873
0,1.10873
0,1.10873
0,4.26085
0,4.26085
0,4.18178
0,4.18178
0,4.18178
0,4.18178
0,4.18178
0,4.18178
0,2.20933
0,4.29575
0,4.29575
0,4.23827
0,2.81842
0,2.78996
0,2.8403
0,2.80426
0,2.74759
0,2.77827
0,2.76784
0,14.6239
0,2.83898
0,4.76268
0,4.74605
0,4.6879
0,4.71085
0,6.0299
0,4.80096
0,4.75431
0,6.04816
0,6.50565
0,6.35442
0,10.9838
0,6.40943
0,6.4092
0,10.7379
0,10.6907
0,8.56237
0,8.559
0,10.3081
0,8.74334
0,12.7227
0,2.87832
0,10.4454
0,6.50265
0,2.82272
0,4.76491
0,4.72609
0,4.66091
0,4.72376
0,6.40774
0,2.81919
0,4.69875
0,4.71306
0,6.37278
0,4.7123
0,6.32823
0,4.70282
0,4.74998
0,6.39007
0,6.43661
0,6.46079
0,6.51058
0,6.48533
0,6.38205
0,6.47876
0,6.8115
0,6.53895
0,6.6434
0,6.43494
0,6.54889
0,6.54004
0,6.46767
0,6.60072
0,8.3209
0,6.71305
0,8.39085
0,6.65493
0,6.67143
0,6.5589
0,6.54545
0,6.69834
0,8.51483
0,8.4428
0,6.71992
0,8.51515
0,8.4351
0,8.45618
0,8.39372
0,8.4701
0,8.48825
0,8.52471
0,8.4756
0,8.42418
0,8.44906
0,8.50875
0,8.70989
0,8.45375
0,8.51047
0,8.5951
0,8.54646
0,8.73067
0,10.3624
0,8.68847
0,10.4185
0,8.68388
0,8.62109
0,8.69276
0,10.34
0,8.71248
0,10.3549
0,8.73535
0,10.3924
0,10.4416
0,10.3917
0,10.4864
0,10.3646
0,10.4625
0,10.4242
0,10.7001
0,10.4586
0,10.6992
0,10.7166
0,10.7239
0,12.348
0,10.6894
0,10.7368
0,12.4738
0,12.3797
0,12.4245
0,12.4171
0,12.3852
0,12.5151
0,12.377
0,14.4289
0,12.5175
0,12.4668
0,12.7181
0,14.2963
0,14.4562
0,14.3889
0,14.3469
0,14.3489
0,14.487
0,16.5263
0,16.3568
0,16.4383
0,16.4792
0,18.4496
0,18.5162
0,20.2878
0,2.03258
0,17.8738
0,4.29575
0,6.22706
0,6.12369
0,6.31074
0,6.15617
0,6.42281
0,7.05231
0,8.20801
0,8.50264
0,12.211
0,8.16119
0,8.50561
0,8.21811
0,12.4362
0,19.9477
0,8.09747
0,13.8682
0,10.3386
0,12.027
0,12.0349
0,15.9558
0,12.0238
0,16.3392
0,15.9332
0,20.057
0,15.9774
0,21.9127
0,15.8531
0,17.9165
0,17.9747
0,16.036
0,14.1135
0,18.3493
0,21.908
0,21.9833
0,22.0932
0,24.0682
0,26.0426
0,29.739
0,21.7437
0,23.8179
0,18.0659
0,23.7982
0,29.8748
0,31.9639
0,31.9589
0,26.2639
0,33.75
0,35.6755
0,25.884
0,33.8034
0,31.9632
0,23.7726
0,29.7533
0,39.7258
0,21.9247
0,25.778
0,39.6023
0,33.7802
0,41.6422
0,35.9709
0,32.0345
0,35.9887
0,41.7246
0,33.7049
0,37.6323
0,35.6999
0,37.8024
0,39.8142
0,53.5617
0,41.9132
0,45.7672
0,43.6803
0,45.7278
0,43.6682
0,39.6651
0,47.5957
0,39.8058
0,39.8203
0,53.5065
0,43.5881
0,45.7125
0,49.6232
